X,Y,Z,Class
1.22,3.3,4.61,2
2.35,2.99,1.63,2
2.71,2.97,3.49,2
1.36,1.56,1.62,2
2.47,1.58,1.85,2
4.62,3.72,2.61,2
2.12,4.12,3.14,2
2.59,3.3,4.0,2
2.4,3.55,2.9,2
3.16,3.0,2.49,2
2.93,2.93,3.09,2
2.42,2.84,3.71,2
2.69,2.14,4.02,2
2.77,2.0,2.94,2
3.34,2.77,2.87,2
2.69,3.65,4.03,2
3.17,3.04,4.24,2
3.21,2.73,1.35,2
2.6,3.5,4.81,2
3.73,3.56,2.43,2
2.75,2.12,2.9,2
3.65,2.59,3.59,2
2.8,3.12,2.87,2
3.23,4.1,2.49,2
2.95,1.76,1.3,2
4.06,1.92,3.87,2
2.13,3.57,3.17,2
2.41,1.82,3.54,2
3.07,4.11,3.08,2
2.84,3.69,3.02,2
2.15,1.79,4.76,2
2.44,2.68,3.88,2
3.09,3.82,3.0,2
3.52,2.38,2.94,2
3.9,2.08,2.34,2
1.0,3.27,4.22,2
3.23,3.11,3.32,2
3.15,2.64,2.65,2
4.1,4.49,4.38,2
3.05,2.73,1.55,2
4.26,1.77,2.89,2
3.72,1.96,3.97,2
5.57,3.12,1.03,2
1.42,4.09,1.15,2
3.89,2.73,2.66,2
3.25,3.73,2.46,2
2.96,1.32,2.57,2
3.48,3.08,2.23,2
3.21,3.43,3.37,2
2.43,2.03,2.77,2
