Age,Weight_Loss,Height,Class,Cluster
21.0,0.82,0.56,1,0
21.0,0.29,0.68,1,0
29.0,-0.17,1.34,1,0
22.0,-0.58,-0.63,1,0
25.0,0.2,0.24,1,0
29.0,1.03,0.01,1,0
24.0,0.44,1.92,1,0
71.0,6.34,5.24,1,1
74.0,6.33,6.5,1,1
75.0,4.93,5.4,1,1
73.0,6.15,6.61,1,1
69.0,6.27,6.12,1,1
71.0,6.04,6.11,1,1
70.0,6.4,6.25,1,1
55.0,5.03,6.75,1,2
46.0,6.36,6.36,1,3
52.0,6.4,8.72,1,2
55.0,6.46,6.67,1,2
49.0,5.45,6.54,1,2
49.0,6.06,5.66,1,2
50.0,3.49,1.68,2,2
33.0,3.77,2.67,2,3
40.0,2.49,2.24,2,3
43.0,3.15,2.48,2,3
40.0,4.52,2.54,2,3
43.0,3.13,1.57,2,3
37.0,2.44,3.6,2,3
39.0,3.61,3.36,2,3
35.0,2.66,2.76,2,3
37.0,3.29,4.25,2,3
34.0,4.5,3.65,2,3
45.0,2.66,1.93,2,3
46.0,3.31,2.5,2,3
43.0,2.96,2.34,2,3
26.0,2.82,2.28,2,0
34.0,1.99,4.15,2,3
38.0,4.02,3.09,2,3
34.0,3.01,3.82,2,3
36.0,3.14,3.33,2,3
37.0,2.73,3.05,2,3
61.0,7.12,6.47,3,2
54.0,4.62,7.51,3,2
59.0,6.2,6.42,3,2
57.0,5.65,5.85,3,2
57.0,6.25,6.6,3,2
57.0,6.22,6.64,3,2
64.0,5.41,6.45,3,2
57.0,6.43,6.53,3,2
60.0,6.9,6.08,3,2
57.0,5.86,6.39,3,2
59.0,6.58,6.78,3,2
64.0,6.01,6.92,3,2
63.0,6.23,5.78,3,2
59.0,6.42,6.07,3,2
56.0,5.29,7.48,3,2
55.0,6.56,6.82,3,2
63.0,5.99,6.44,3,2
56.0,5.52,6.05,3,2
64.0,5.42,5.9,3,2
59.0,5.6,6.29,3,2
76.0,6.17,0.17,4,1
78.0,6.16,-0.33,4,1
74.0,5.49,-1.0,4,1
79.0,7.04,0.22,4,1
84.0,5.99,-0.11,4,1
76.0,5.8,-0.01,4,1
81.0,6.37,-0.58,4,1
87.0,6.28,-0.08,4,1
83.0,6.16,-0.28,4,1
80.0,5.45,0.07,4,1
80.0,7.03,0.35,4,1
84.0,5.46,1.52,4,1
84.0,7.55,0.13,4,1
76.0,5.58,-0.59,4,1
71.0,5.46,-0.37,4,1
81.0,7.33,0.24,4,1
84.0,5.36,-0.41,4,1
82.0,7.3,-0.93,4,1
85.0,4.79,-0.33,4,1
86.0,6.88,-0.08,4,1
